target	regulator	condition	weight
TSC22D3	FOS	CD8 Exhausted	0.557761331978517
GPR183	FOS	CD8 Exhausted	0.5514516750300122
ZNF331	FOS	CD8 Exhausted	0.5309808252373013
GSTP1	FOS	CD8 Exhausted	0.5292644068318602
NUCKS1	FOS	CD8 Exhausted	0.5288164187713954
LMBRD1	FOS	CD8 Exhausted	0.5053735764220934
ATF4	FOS	CD8 Exhausted	0.4873806132936427
ELL2	FOS	CD8 Exhausted	0.483903878000941
HSPH1	FOS	CD8 Exhausted	0.4394658785794966
TXNRD1	FOS	CD8 Exhausted	0.4390648433550872
PSAP	FOS	CD8 Exhausted	0.4281475968426354
SLC1A4	FOS	CD8 Exhausted	0.4092478960759821
FAM177A1	FOS	CD8 Exhausted	0.3901610400528261
CD63	FOS	CD8 Exhausted	0.3889709397410751
NFKBIZ	FOS	CD8 Exhausted	0.371967624037479
ANXA2	FOS	CD8 Exhausted	0.3602123474327248
ADGRE5	FOS	CD8 Exhausted	0.3466929811883333
AHNAK	FOS	CD8 Exhausted	0.3415711324377903
RBM3	FOS	CD8 Exhausted	0.3409518109735932
BHLHE40	FOS	CD8 Exhausted	0.3181303794793163
GPX1	FOS	CD8 Exhausted	0.2988095030153981
CHD2	FOS	CD8 Exhausted	0.2974125740015862
CYSTM1	FOS	CD8 Exhausted	0.2940884394882319
PIM3	FOS	CD8 Exhausted	0.280680552140079
CAPG	FOS	CD8 Exhausted	0.2801839285560157
CCNH	FOS	CD8 Exhausted	0.2773819062751727
ACTG1	FOS	CD8 Exhausted	0.2679800848085651
PLIN2	FOS	CD8 Exhausted	0.2507982751985482
ACTB	FOS	CD8 Exhausted	0.2307284667445074
YPEL5	FOS	CD8 Exhausted	0.2108680999620053
ATP1A1	FOS	CD8 Exhausted	0.2032718546773688
NINJ1	FOS	CD8 Exhausted	0.1947758805655284
PTP4A1	FOS	CD8 Exhausted	0.1937700416334883
DUSP2	FOS	CD8 Exhausted	0.1913161727953546
NFATC2	FOS	CD8 Exhausted	0.1760886187178935
JUND	FOS	CD8 Exhausted	0.1449476496089691
MGST3	FOS	CD8 Exhausted	0.1378821404418492
PDE4B	FOS	CD8 Exhausted	0.1373840964679284
IDH2	FOS	CD8 Exhausted	0.1074079119827761
TUBA1C	FOS	CD8 Exhausted	0.1026197668767221
TXN	FOS	CD8 Exhausted	0.0987431776610908
ARHGEF7	FOSL2	CD8 Exhausted	1.7572438394006342
ACP5	FOSL2	CD8 Exhausted	1.3542501792886237
JUND	FOSL2	CD8 Exhausted	1.3059519956120669
SATB1	FOSL2	CD8 Exhausted	1.2903064714126615
SLC16A3	FOSL2	CD8 Exhausted	1.1649198496996935
NFKBIZ	FOSL2	CD8 Exhausted	1.0817808055854974
GZMB	FOSL2	CD8 Exhausted	1.059490942994804
STAT3	FOSL2	CD8 Exhausted	1.023136830257919
FOSL2	FOSL2	CD8 Exhausted	1.0
ZNF331	FOSL2	CD8 Exhausted	0.9020240798021514
GTF3A	FOSL2	CD8 Exhausted	0.845111125436838
RFTN1	FOSL2	CD8 Exhausted	0.8427063704970006
SEMA4D	FOSL2	CD8 Exhausted	0.8206026836955008
SMCHD1	FOSL2	CD8 Exhausted	0.7535743111539229
RGS2	FOSL2	CD8 Exhausted	0.7386731370527778
INSIG1	FOSL2	CD8 Exhausted	0.5955449859128175
TSHZ2	FOSL2	CD8 Exhausted	0.5947559833598444
RALA	FOSL2	CD8 Exhausted	0.5736561994684337
CMIP	FOSL2	CD8 Exhausted	0.5678115089457428
CREM	FOSL2	CD8 Exhausted	0.5403781655458322
SYTL3	FOSL2	CD8 Exhausted	0.5348816805620706
JOSD1	FOSL2	CD8 Exhausted	0.4955858116210422
ATP1B3	FOSL2	CD8 Exhausted	0.4758133792725584
RPS29	FOSL2	CD8 Exhausted	0.4662746923695015
SPTAN1	FOSL2	CD8 Exhausted	0.4592337961210415
LSM2	FOSL2	CD8 Exhausted	0.4439566111657524
DUSP2	FOSL2	CD8 Exhausted	0.4331029177252062
NR3C1	FOSL2	CD8 Exhausted	0.4214351819192419
SYAP1	FOSL2	CD8 Exhausted	0.4181104338818457
CD4	FOSL2	CD8 Exhausted	0.4107290643022967
FYN	FOSL2	CD8 Exhausted	0.4096139308448631
GATA3	FOSL2	CD8 Exhausted	0.3816069191389172
LMBRD1	FOSL2	CD8 Exhausted	0.3768833613797659
FOXP1	FOSL2	CD8 Exhausted	0.3518100370655061
EIF4A1	FOSL2	CD8 Exhausted	0.3414950639659521
STAT5B	FOSL2	CD8 Exhausted	0.3321462793526713
PDE4B	FOSL2	CD8 Exhausted	0.3243533061765616
ZFP36	FOSL2	CD8 Exhausted	0.296676361073669
USP11	FOSL2	CD8 Exhausted	0.2745608205819372
FAM177A1	FOSL2	CD8 Exhausted	0.2599311524161058
DDIT4	FOSL2	CD8 Exhausted	0.2515546171454499
CYSTM1	FOSL2	CD8 Exhausted	0.2322764702768406
ZEB2	FOSL2	CD8 Exhausted	0.2061215649774979
CD7	FOSL2	CD8 Exhausted	0.1800133157358061
RPS27	FOSL2	CD8 Exhausted	0.1714776098058953
ZFP36L2	FOSL2	CD8 Exhausted	0.1559891667579392
CCND2	FOSL2	CD8 Exhausted	0.0749620180005813
HSP90AA1	FOXP1	CD8 Exhausted	1.156834536576165
NR3C1	FOXP1	CD8 Exhausted	1.120695722236441
MTRNR2L8	FOXP1	CD8 Exhausted	1.0764774375344466
ABLIM1	FOXP1	CD8 Exhausted	1.046921851819125
FOXP1	FOXP1	CD8 Exhausted	1.0
FYN	FOXP1	CD8 Exhausted	0.996005558668826
JUNB	FOXP1	CD8 Exhausted	0.8970934578810396
PIK3IP1	FOXP1	CD8 Exhausted	0.7833536623016223
SATB1	FOXP1	CD8 Exhausted	0.7634780966052984
PTGER4	FOXP1	CD8 Exhausted	0.7383493065863341
LDLRAD4	FOXP1	CD8 Exhausted	0.7153877851074922
