TFs	Genes	Occurrence	occurrence_percentage	Weights	condition
CREM	JOSD1	4	100.0	0.7667670627488916	CD8 Exhausted
CREM	CRIP1	4	100.0	0.7348299331905014	CD8 Exhausted
CREM	DCP1B	3	75.0	0.72041017549031	CD8 Exhausted
CREM	PDE4B	3	75.0	0.7156951266007834	CD8 Exhausted
CREM	GABARAPL1	4	100.0	0.7128677486701678	CD8 Exhausted
CREM	RHBDF2	4	100.0	0.7014310012641247	CD8 Exhausted
CREM	NFATC2	3	75.0	0.6788619856557742	CD8 Exhausted
CREM	LINC00152	4	100.0	0.6618518824821518	CD8 Exhausted
CREM	SAMSN1	3	75.0	0.661818342712256	CD8 Exhausted
CREM	ELL2	4	100.0	0.6593555168365666	CD8 Exhausted
CREM	ANXA1	3	75.0	0.6391765492629581	CD8 Exhausted
CREM	MARCKSL1	4	100.0	0.6367460210816361	CD8 Exhausted
CREM	SATB1	4	100.0	0.6357417967985526	CD8 Exhausted
CREM	XAB2	3	75.0	0.6331905330410249	CD8 Exhausted
CREM	IL21R	4	100.0	0.6261920815995965	CD8 Exhausted
CREM	CD53	4	100.0	0.6175456605105369	CD8 Exhausted
CREM	GPR183	4	100.0	0.5910445734420515	CD8 Exhausted
CREM	PITPNC1	4	100.0	0.5678209708836154	CD8 Exhausted
CREM	RALGAPA1	3	75.0	0.5674217589549313	CD8 Exhausted
CREM	FAM65B	3	75.0	0.566445487492612	CD8 Exhausted
CREM	CCND2	4	100.0	0.5605024765342643	CD8 Exhausted
CREM	SPTAN1	3	75.0	0.5590843963910336	CD8 Exhausted
CREM	GATA3	4	100.0	0.5124371007212584	CD8 Exhausted
CREM	PTP4A1	4	100.0	0.511549611011201	CD8 Exhausted
CREM	CD7	4	100.0	0.5095078237561909	CD8 Exhausted
CREM	STAT3	4	100.0	0.5040247411191711	CD8 Exhausted
CREM	NR4A2	4	100.0	0.5036721010636235	CD8 Exhausted
CREM	NCDN	4	100.0	0.4719811229635779	CD8 Exhausted
CREM	EIF4A1	4	100.0	0.4674935583777901	CD8 Exhausted
CREM	LYST	4	100.0	0.4672031463811148	CD8 Exhausted
CREM	PRNP	4	100.0	0.4641709154522895	CD8 Exhausted
CREM	PRKX	3	75.0	0.4596089374538176	CD8 Exhausted
CREM	MAF	4	100.0	0.455758956394899	CD8 Exhausted
