regulator	target	condition	weight
KPNA2	GPN1	differential	1
KPNA2	XRN1	differential	1
KPNA2	BAZ1B	differential	1
DEK	STARD3	differential	1
DEK	EMB	differential	1
DEK	PRKDC	differential	1
PIK3IP1	RPL36A	differential	1
PIK3IP1	GPR137B	differential	1
PIK3IP1	RAB4A	differential	1
CD247	STAT1	non-differential	1
CD247	STX4	differential	1
CD247	GNB5	differential	1
TIMM10	RTF1	differential	1
TIMM10	NPTN	non-differential	1
TIMM10	WTAP	non-differential	1
RPL13A	ODC1	non-differential	1
RPL13A	CDC37L1	differential	1
RPL13A	RPL26	differential	1
RPL13A	ANXA5	non-differential	1
RPL13A	THAP7	non-differential	1
CCNH	GCLM	non-differential	1
CCNH	TRAC	non-differential	1
CCNH	SET	differential	1
CCNH	GCC2	differential	1
MGST3	CNOT6L	differential	1
MGST3	C18ORF32	differential	1
MGST3	PCF11	non-differential	1
G6PD	ZC3H12D	differential	1
G6PD	TUBB4B	differential	1
G6PD	CYP20A1	differential	1
G6PD	SUPT16H	differential	1
G6PD	BAZ1B	differential	1
JOSD1	TRAC	non-differential	1
JOSD1	TPGS2	differential	1
GPX4	STOM	differential	1
GPX4	CEBPZ	differential	1
GPX4	TRIM69	differential	1
RASAL3	MVD	differential	1
RASAL3	GIMAP7	non-differential	1
RASAL3	SEPHS2	differential	1
RASAL3	GNB5	differential	1
OFD1	BET1L	differential	1
ATP2B4	RPL26	differential	1
ATP2B4	SURF4	differential	1
ATP2B4	CTSD	differential	1
MVD	PLEKHA2	differential	1
C17ORF89	STARD3	differential	1
C17ORF89	TSPO	differential	1
C17ORF89	TNIP1	differential	1
ARAP2	PDCD4	differential	1
ARAP2	CDC37L1	differential	1
ARAP2	SPAG9	non-differential	1
ARAP2	ANKH	differential	1
STK17B	SIPA1L1	differential	1
STK17B	RPA1	non-differential	1
STK17B	CHORDC1	differential	1
BAX	GRSF1	non-differential	1
BAX	ARL4C	differential	1
LCP1	TRIM69	differential	1
LCP1	BST2	differential	1
NFATC2	SKP1	differential	1
NFATC2	STOML2	differential	1
NFATC2	POLD4	non-differential	1
EIF4EBP1	GIMAP7	non-differential	1
EIF4EBP1	VAMP2	non-differential	1
HERPUD2	HOXB2	differential	1
NCF4	SEC23B	differential	1
ITGB1BP1	RUNX3	differential	1
ITGB1BP1	IL6ST	non-differential	1
ITGB1BP1	IL12RB1	non-differential	1
ITGB1BP1	CCSER2	differential	1
ITGB1BP1	NUTF2	differential	1
ITGB1BP1	WTAP	non-differential	1
S1PR4	TNIK	differential	1
S1PR4	IRF1	differential	1
S1PR4	WDR74	differential	1
S1PR4	ZNF106	non-differential	1
FAM102A	FBXO21	differential	1
FAM102A	VAMP2	non-differential	1
FAM102A	EMB	differential	1
IVNS1ABP	NDUFA3	differential	1
IVNS1ABP	CARHSP1	non-differential	1
IVNS1ABP	ENO1	differential	1
IVNS1ABP	VAMP2	non-differential	1
IVNS1ABP	SEC23B	differential	1
MAPRE2	KIAA1191	differential	1
MAPRE2	U2AF1L4	differential	1
MAPRE2	C11ORF73	differential	1
IQGAP2	RNF213	differential	1
IQGAP2	CHCHD1	differential	1
IQGAP2	ADAM10	non-differential	1
AP2B1	PARP14	non-differential	1
AP2B1	PNMA1	differential	1
AP2B1	RRN3	differential	1
BANF1	CAPN1	differential	1
BANF1	RPS17	differential	1
PDE3B	RORA	differential	1
PDE3B	PYHIN1	differential	1
PDE3B	TRBC2	differential	1
PDE3B	CD28	non-differential	1
PDE3B	SFT2D2	non-differential	1
USP36	MRPL27	differential	1
USP36	MRPL4	differential	1
PTPN4	EFHD2	differential	1
ZFAND2A	EPB41	non-differential	1
SLA	DCTN6	differential	1
SLA	DNPH1	differential	1
SLA	TMEM167A	differential	1
SLA	PSMB5	differential	1
SLA	PTPN22	differential	1
SLA	PREP	non-differential	1
SLA	FAM136A	differential	1
SKIL	GIMAP7	non-differential	1
SKIL	DNPH1	differential	1
SKIL	ADSS	differential	1
SKIL	ALDH9A1	differential	1
CCPG1	EIF5A	differential	1
CCPG1	UGP2	differential	1
BNIP3L	GPR137B	differential	1
BNIP3L	SECISBP2L	differential	1
BNIP3L	AP1G2	differential	1
PGK1	GRSF1	non-differential	1
PGK1	STARD3	differential	1
PGK1	CACYBP	differential	1
PGK1	SMC3	non-differential	1
PGK1	ADSS	differential	1
PGK1	CCDC107	non-differential	1
FAM129A	FAS	non-differential	1
FAM129A	CENPC	differential	1
FAM129A	LSM5	differential	1
FAM129A	FAM134C	differential	1
RORA	EFCAB14	differential	1
IFNGR1	SLC38A2	non-differential	1
IFNGR1	ANKRD49	differential	1
IFNGR1	KTN1	differential	1
IFNGR1	DDX27	differential	1
IFNGR1	ITGAL	non-differential	1
PDCD4	KLHL24	differential	1
PDCD4	VOPP1	differential	1
C10ORF54	MRPL27	differential	1
C10ORF54	EFHD2	differential	1
C10ORF54	TNKS2	differential	1
GARS	ARRDC2	differential	1
GARS	IL12RB1	non-differential	1
GARS	PHC3	differential	1
GARS	YPEL3	non-differential	1
GARS	PARP1	differential	1
NMRK1	YWHAG	differential	1
NMRK1	PCF11	non-differential	1
NMRK1	VOPP1	differential	1
NMRK1	BAZ1B	differential	1
RANBP2	ITGB2	differential	1
RANBP2	CEBPG	differential	1
RANBP2	DCK	differential	1
RANBP2	C18ORF8	differential	1
MOB4	WDR18	differential	1
CNOT6L	TSEN54	differential	1
CNOT6L	AIM1	differential	1
CNOT6L	ATOX1	differential	1
CNOT6L	TRAPPC4	differential	1
CNOT6L	SELPLG	non-differential	1
SRPRA	GPR65	differential	1
SRPRA	DSTN	differential	1
SRPRA	KAT6B	differential	1
SRPRA	WDR48	differential	1
SRPRA	RNASET2	differential	1
SRPRA	HECTD1	non-differential	1
SRPRA	EPS15	non-differential	1
CCDC64	LSM5	differential	1
CCDC64	GON4L	differential	1
NDUFB9	SSRP1	differential	1
NDUFB9	TRAT1	non-differential	1
NDUFB9	LDHB	differential	1
NDUFB9	RRN3	differential	1
NDUFB9	ARHGAP17	differential	1
TSEN54	SLBP	non-differential	1
TSEN54	VOPP1	differential	1
ASXL2	RRN3	differential	1
ASXL2	RANGAP1	differential	1
THOC7	RPA3	differential	1
THOC7	SECISBP2L	differential	1
THOC7	ANKH	differential	1
ZC3H12D	DCTN6	differential	1
PYHIN1	TRBC2	differential	1
PYHIN1	NUP58	differential	1
PHTF2	TMEM245	differential	1
P2RY8	GTF3C1	differential	1
P2RY8	COMT	differential	1
P2RY8	ANKRD49	differential	1
P2RY8	TMEM14C	differential	1
P2RY8	HECTD1	non-differential	1
GPR65	PIM1	non-differential	1
GPR65	TRBC2	differential	1
GPR65	SP140	differential	1
CD46	SNRNP200	differential	1
MAT2A	UBE2V2	differential	1
MAT2A	DDX23	non-differential	1
AIM1	TOR3A	differential	1
MYH9	SUPT16H	differential	1
MTMR6	TNKS2	differential	1
TC2N	SIRT2	differential	1
TC2N	APOL6	non-differential	1
TC2N	GSTK1	differential	1
PPP1R18	RPA3	differential	1
ARID5B	TRAT1	non-differential	1
ARID5B	IL12RB1	non-differential	1
ARID5B	CNN2	differential	1
ARID5B	CAPN1	differential	1
KLF6	ZBTB38	non-differential	1
KLF6	FBXO21	differential	1
H2AFY	CARHSP1	non-differential	1
SKP1	IFT20	differential	1
SKP1	ERP44	differential	1
SKP1	ADAM10	non-differential	1
TUBB4B	GLIPR2	differential	1
EIF5A	RPS17	differential	1
EIF5A	TOMM40	non-differential	1
FYB	CITED2	differential	1
FYB	IL27RA	differential	1
FYB	C5ORF56	differential	1
FYB	GSTK1	differential	1
FYB	SNX5	differential	1
MLLT3	ATP6V1E1	differential	1
MLLT3	NDUFA13	differential	1
MLLT3	MORC3	differential	1
MLLT3	WTAP	non-differential	1
CITED2	TYMP	non-differential	1
CITED2	PNP	non-differential	1
CITED2	SART3	differential	1
CITED2	THUMPD1	differential	1
ARRDC2	CEBPG	differential	1
ARRDC2	RAB9A	differential	1
ARRDC2	CCSER2	differential	1
ARRDC2	GAK	differential	1
PLK3	SSRP1	differential	1
PLK3	CAMK4	differential	1
PLEKHA2	AK3	differential	1
U2AF1L4	DCXR	differential	1
U2AF1L4	TCF25	differential	1
DSTN	LSM7	differential	1
DSTN	UQCC2	differential	1
DSTN	ANKRD17	non-differential	1
DSTN	SECISBP2L	differential	1
NAGK	SSRP1	differential	1
NAGK	CDC37L1	differential	1
NAGK	ARHGEF1	differential	1
NAGK	SURF4	differential	1
NAGK	SETX	differential	1
NAGK	FAM134C	differential	1
UBC	ARHGEF1	differential	1
CORO1A	APOL6	non-differential	1
MZT2B	EIF4A2	differential	1
MZT2B	ARHGEF1	differential	1
MZT2B	EPS15	non-differential	1
B4GALT1	HCFC1R1	differential	1
B4GALT1	PTPN22	differential	1
B4GALT1	CTNNB1	differential	1
B4GALT1	FBXW11	differential	1
ZFP36L1	ZMPSTE24	differential	1
HCFC1R1	TMX3	differential	1
HCFC1R1	NOP58	differential	1
HCFC1R1	TTC3	differential	1
HCFC1R1	EMB	differential	1
UBE2V2	IL6ST	non-differential	1
UBE2V2	PHF5A	differential	1
CEBPG	TRAC	non-differential	1
CEBPG	CNTRL	non-differential	1
BET1L	DENND2D	non-differential	1
BET1L	AP1G2	differential	1
FBXW2	CALCOCO2	differential	1
FBXW2	NUMA1	differential	1
CYFIP2	TAF7	differential	1
CYFIP2	LDHA	differential	1
CYFIP2	RPS17	differential	1
CYFIP2	CTSD	differential	1
TMEM245	POLG	differential	1
TMEM245	RAB8B	non-differential	1
UXS1	LDHB	differential	1
FLNA	TRAPPC4	differential	1
RPL22L1	RBBP8	non-differential	1
GDE1	TRAPPC4	differential	1
GDE1	LDHB	differential	1
GDE1	CNIH1	differential	1
SEC14L1	ENO1	differential	1
SEC14L1	CCNT1	differential	1
ARL4C	ATOX1	differential	1
ARL4C	C5ORF56	differential	1
CENPC	CD151	non-differential	1
CENPC	CD82	non-differential	1
CENPC	C18ORF8	differential	1
CENPC	TPP1	differential	1
CENPC	ANKH	differential	1
SAMD9	EFR3A	differential	1
SAMD9	PPP6R3	differential	1
SAMD9	SAR1A	differential	1
RPSA	ST3GAL1	non-differential	1
RPSA	USE1	differential	1
RPSA	NDUFB3	differential	1
RPSA	SEC23B	differential	1
DNPH1	SLC38A2	non-differential	1
DNPH1	TRIM69	differential	1
DCXR	EMB	differential	1
SIPA1L1	MYD88	differential	1
SIPA1L1	PNMA1	differential	1
HOXB2	SFT2D2	non-differential	1
BACH1	GSTK1	differential	1
UGP2	ZBTB38	non-differential	1
UGP2	MRPL4	differential	1
UGP2	YIPF4	differential	1
PRDX2	TMEM70	differential	1
PRDX2	ZCCHC11	non-differential	1
SNRPA	ADD3	non-differential	1
SNRPA	PHF5A	differential	1
ABCF2	TMEM14C	differential	1
ABCF2	BST2	differential	1
ABCF2	CCDC107	non-differential	1
RAB9A	CARHSP1	non-differential	1
ECH1	FAM60A	differential	1
ECH1	SELPLG	non-differential	1
ECH1	CHORDC1	differential	1
CYP20A1	CDC37L1	differential	1
LSM7	RCE1	differential	1
LSM7	PSMB7	differential	1
SKAP1	PET100	differential	1
SKAP1	PTPN22	differential	1
RUNX3	PDCL3	differential	1
RUNX3	ALDH9A1	differential	1
LSM5	TMEM14C	differential	1
LSM5	SMU1	differential	1
PRKCQ	CALCOCO2	differential	1
PRKCQ	CHCHD7	differential	1
POP7	PARP1	differential	1
HSPE1	HLA-F	differential	1
GLIPR2	GPS2	differential	1
SEPHS2	KLHL24	differential	1
SEPHS2	TADA3	differential	1
SEPHS2	INPP5D	differential	1
DHRS7	TMX3	differential	1
DHRS7	RRN3	differential	1
DHRS7	SNAP23	non-differential	1
DHRS7	RNASET2	differential	1
DHRS7	SNX20	non-differential	1
CYTH2	IL6ST	non-differential	1
CYTH2	CNTRL	non-differential	1
ZDHHC12	TAF7	differential	1
ZDHHC12	LDHB	differential	1
ZDHHC12	EMB	differential	1
ZDHHC12	ATP2A3	differential	1
ATOX1	VOPP1	differential	1
SART3	PSTPIP1	differential	1
SART3	STX12	non-differential	1
EFR3A	IFITM1	differential	1
EFR3A	TPP1	differential	1
ACTN4	SLC5A3	non-differential	1
RNF145	TMEM70	differential	1
CDK6	JARID2	differential	1
CDK6	GAK	differential	1
CDC37L1	THAP7	non-differential	1
FAM60A	C18ORF8	differential	1
C11ORF31	GPS2	differential	1
C11ORF31	MAP2K3	non-differential	1
C11ORF31	ANKH	differential	1
TAF7	SNX5	differential	1
MRPL27	CTNNB1	differential	1
MRPL27	RAB4A	differential	1
MRPL27	BAZ1B	differential	1
HLA-F	YWHAG	differential	1
HLA-F	USP4	differential	1
RPL36A	GPS2	differential	1
RPL36A	CAPN1	differential	1
ARFGAP3	LAT	non-differential	1
ARFGAP3	ATP2B1	non-differential	1
ARFGAP3	ARHGEF1	differential	1
ARFGAP3	PTPN22	differential	1
SIRT2	ZFAND5	differential	1
SIRT2	STK4	differential	1
PET100	CD2	differential	1
PET100	WDR18	differential	1
RPL26	KTN1	differential	1
RPL26	IKZF1	differential	1
LDHA	CACYBP	differential	1
LDHA	SNAP23	non-differential	1
LDHA	ERLEC1	non-differential	1
GPR137B	SNRK	differential	1
MSN	PSMB5	differential	1
TARS	KXD1	differential	1
TARS	YIPF4	differential	1
TMX3	RNASET2	differential	1
TMX3	TCF25	differential	1
GON4L	PDIA4	non-differential	1
GON4L	GAK	differential	1
GON4L	TPGS2	differential	1
GON4L	RIC8A	differential	1
CDK11B	KLHL24	differential	1
MZT2A	LSP1	differential	1
MZT2A	CNIH1	differential	1
SET	SLBP	non-differential	1
STARD3	PAG1	non-differential	1
STARD3	PHF5A	differential	1
STARD3	RIC8A	differential	1
CACYBP	ANXA5	non-differential	1
CACYBP	USP4	differential	1
UQCC2	TRAF3	non-differential	1
HEXIM1	TMSB4X	differential	1
HEXIM1	C18ORF8	differential	1
HEXIM1	PSMB7	differential	1
KLHL24	PHF1	differential	1
DBF4	C17ORF49	differential	1
ZFAND5	TOR3A	differential	1
ZFAND5	THUMPD1	differential	1
ZFAND5	FAM136A	differential	1
CRTAP	LSM3	differential	1
CRTAP	CNN2	differential	1
CRTAP	CALCOCO2	differential	1
MRPL18	NPTN	non-differential	1
GINM1	POLG	differential	1
GINM1	CLK1	differential	1
GINM1	CKAP2	non-differential	1
GINM1	PRKDC	differential	1
GTF3C1	CCSER2	differential	1
GTF3C1	FAM136A	differential	1
NFU1	TMEM39A	differential	1
NFU1	SNRPF	differential	1
MYD88	POLD4	non-differential	1
USE1	BST2	differential	1
POLG	CNN2	differential	1
POLG	GCC2	differential	1
POLG	WDR46	differential	1
MAP1LC3B2	TSPO	differential	1
MAP1LC3B2	TNIP1	differential	1
STOM	TIPARP	non-differential	1
PDHB	NDUFA3	differential	1
PDHB	GNA13	non-differential	1
PDHB	RBBP6	non-differential	1
C5ORF56	CYTIP	differential	1
C5ORF56	CCDC107	non-differential	1
C5ORF56	PCID2	differential	1
TMEM167A	VPS13C	differential	1
TMEM167A	GAK	differential	1
NOP58	TMX4	non-differential	1
NOP58	STX12	non-differential	1
NOP58	TNKS2	differential	1
NOP58	RHOT2	differential	1
TMEM43	TRAPPC4	differential	1
C17ORF49	HECTD1	non-differential	1
AK3	LTA4H	non-differential	1
NDUFB3	THOC3	differential	1
NDUFB3	WDR18	differential	1
TTC3	ADD3	non-differential	1
TTC3	EFCAB14	differential	1
ATP5G3	NUTF2	differential	1
ATP5G3	TMEM39A	differential	1
RASA2	EBNA1BP2	differential	1
RASA2	MARCH7	differential	1
EIF4A2	RRN3	differential	1
EIF4A2	ERP44	differential	1
ARHGEF1	SURF4	differential	1
ARHGEF1	CAPN1	differential	1
IFITM1	HSPD1	non-differential	1
IFITM1	PEX16	differential	1
PSTPIP1	CALCOCO2	differential	1
PSTPIP1	NUFIP2	non-differential	1
PSTPIP1	DIP2A	non-differential	1
COMT	SFT2D2	non-differential	1
NDUFA3	RAB4A	differential	1
PPP6R3	LSM3	differential	1
PNMA1	RRN3	differential	1
PNMA1	SFT2D2	non-differential	1
ISG20	KXD1	differential	1
KXD1	TOMM40	non-differential	1
KXD1	PJA2	differential	1
KXD1	MARCH7	differential	1
CKLF	ARHGAP17	differential	1
CKLF	CCDC107	non-differential	1
TRAPPC4	RPP21	differential	1
TRAPPC4	WDR46	differential	1
TRAPPC4	GCHFR	differential	1
CCSER2	LYAR	non-differential	1
SURF4	CARHSP1	non-differential	1
SURF4	WTAP	non-differential	1
NELFA	ITGAL	non-differential	1
VPS13C	EPS15	non-differential	1
PHC3	RNF125	differential	1
URM1	G3BP2	differential	1
URM1	PJA2	differential	1
CHMP4B	SNRK	differential	1
CHMP4B	SETX	differential	1
CNN2	PDCL3	differential	1
CNN2	ZMPSTE24	differential	1
CNN2	IKZF1	differential	1
ANAPC11	THAP7	non-differential	1
PTPRJ	KCNAB2	differential	1
PTPRJ	TMEM14C	differential	1
STK38	EPB41	non-differential	1
SNRK	GAK	differential	1
DCK	KTN1	differential	1
CAPN1	MARCH7	differential	1
CEBPZ	OS9	differential	1
CEBPZ	CD3G	differential	1
CEBPZ	TCF25	differential	1
KCNAB2	PHF5A	differential	1
FBXO21	C18ORF32	differential	1
FBXO21	PRKDC	differential	1
PRKCH	CD3G	differential	1
CYTIP	RBPJ	non-differential	1
CYTIP	RAB8B	non-differential	1
CYTIP	CHORDC1	differential	1
GSTK1	DDX23	non-differential	1
PDCL3	SNF8	differential	1
PDCL3	RNASET2	differential	1
KAT6B	RBBP8	non-differential	1
KAT6B	SAR1A	differential	1
ARPC1B	RHOT2	differential	1
RNF125	C14ORF1	differential	1
C14ORF1	PHF5A	differential	1
C14ORF1	PSMB7	differential	1
C14ORF1	PCID2	differential	1
GPN1	USP4	differential	1
TRIAP1	THAP7	non-differential	1
OSTF1	ZNF106	non-differential	1
OSTF1	DIP2A	non-differential	1
RPS17	NUTF2	differential	1
RPS17	MARCH7	differential	1
MRPL4	ERP44	differential	1
MRPL4	PHF5A	differential	1
PTPN22	ATP2A3	differential	1
LDHB	ARL6IP1	differential	1
LDHB	RCE1	differential	1
XRN1	TADA3	differential	1
ALDH9A1	WSB1	differential	1
RDH11	RCE1	differential	1
RDH11	NFE2L2	differential	1
TADA3	GCC2	differential	1
TADA3	ZC3HAV1	non-differential	1
PEX16	TOMM40	non-differential	1
PEX16	CNTRL	non-differential	1
PEX16	ATP2A3	differential	1
INPP5D	EPB41	non-differential	1
INPP5D	RANGAP1	differential	1
NDUFA12	CKAP2	non-differential	1
CLK1	ATF7IP	differential	1
JARID2	TPGS2	differential	1
SNRPE	TMEM39A	differential	1
LSP1	CD3G	differential	1
EMB	HAT1	differential	1
TOR3A	NDUFA13	differential	1
YWHAG	EFHD2	differential	1
SNF8	AGPAT2	differential	1
SNF8	CREB1	non-differential	1
SNF8	ITGAL	non-differential	1
WDR74	LPCAT3	differential	1
WDR74	SLBP	non-differential	1
WDR74	ERLEC1	non-differential	1
LPCAT3	BIN1	non-differential	1
ATP6AP1	SMU1	differential	1
C11ORF73	ANKRD49	differential	1
C11ORF73	FOXN3	non-differential	1
EFHD2	ZCCHC11	non-differential	1
TNKS2	CTSD	differential	1
PHPT1	FAM134C	differential	1
ANKRD49	ARRDC1	differential	1
ANKRD49	NUFIP2	non-differential	1
ANKRD49	EPB41	non-differential	1
ANKRD49	THUMPD1	differential	1
ZNF267	CCS	differential	1
ARL6IP1	CCS	differential	1
ARL6IP1	YIPF4	differential	1
ARL6IP1	CCDC107	non-differential	1
RCE1	THAP7	non-differential	1
RPP21	EFCAB14	differential	1
RPP21	DDX23	non-differential	1
ARRDC1	SMU1	differential	1
WDR46	SETX	differential	1
WDR46	EPS15	non-differential	1
ATF7IP	ADK	non-differential	1
CTNNB1	CCS	differential	1
TMEM70	TPGS2	differential	1
KTN1	AGPAT2	differential	1
KTN1	TNIP1	differential	1
TSPO	SNX20	non-differential	1
TSPO	VOPP1	differential	1
TSPO	ITGAL	non-differential	1
BST2	ARMCX3	differential	1
BST2	RIF1	differential	1
OS9	FAM134C	differential	1
RHOT2	NFE2L2	differential	1
RHOT2	GNB5	differential	1
CCS	DDX27	differential	1
AP1G2	RIF1	differential	1
SERINC1	FAM136A	differential	1
USP4	SDHA	differential	1
BPTF	HAT1	differential	1
BPTF	AGPAT2	differential	1
BPTF	RBBP6	non-differential	1
BPTF	CCNT1	differential	1
CCDC85B	FAM136A	differential	1
SEC23B	EFCAB14	differential	1
HAT1	FOXN3	non-differential	1
SP140	ANKH	differential	1
CNIH1	LTA4H	non-differential	1
SLC3A2	ERLEC1	non-differential	1
PHF5A	ARMCX3	differential	1
PHF5A	YIPF4	differential	1
EBNA1BP2	WDR18	differential	1
PJA2	SDHA	differential	1
RIC8A	ANKH	differential	1
YIPF4	BAZ1B	differential	1
VOPP1	LTA4H	non-differential	1
KAT6A	FAM134C	differential	1
WSB1	FAM134C	differential	1
NFE2L2	FAM134C	differential	1
NFE2L2	BRIX1	non-differential	1
RAB4A	ITGAL	non-differential	1
IKZF1	GNB5	differential	1
