regulator	target	condition	weight
ACP5	CEBPG	differential	1
ACP5	IL6ST	non-differential	1
ACP5	LRBA	non-differential	1
ACP5	AP1G2	differential	1
ACP5	SETX	differential	1
S100A4	CTSC	non-differential	1
S100A4	MVD	differential	1
S100A4	TMEM167A	differential	1
S100A4	NOP58	differential	1
S100A4	ADSS	differential	1
S100A4	RTF1	differential	1
CXCR6	RPLP0	differential	1
CXCR6	DEK	differential	1
CXCR6	SKIL	differential	1
CXCR6	BCAS2	non-differential	1
CXCR6	AHSA1	differential	1
CXCR6	GAK	differential	1
TNFRSF4	CTSA	differential	1
TUBB	CLEC2D	differential	1
TUBB	HERPUD2	differential	1
TUBB	DDX23	non-differential	1
TUBB	ZMYM5	non-differential	1
ZNF331	CCND2	differential	1
ZNF331	SELK	differential	1
ZNF331	GCC2	differential	1
AQP3	SYTL3	differential	1
AQP3	TPM4	differential	1
AQP3	LAMP1	differential	1
AQP3	PTMS	non-differential	1
PFN1	HERPUD1	differential	1
PFN1	HMGN2	differential	1
PFN1	ID2	differential	1
PFN1	CD55	differential	1
PFN1	HSP90B1	non-differential	1
PFN1	CCSER2	differential	1
PFN1	CEBPZ	differential	1
PFN1	ADD3	non-differential	1
AC092580.4	RPLP0	differential	1
AC092580.4	DCP1B	differential	1
AC092580.4	SARAF	differential	1
AC092580.4	TRAPPC4	differential	1
AC092580.4	SFT2D2	non-differential	1
AC092580.4	STK4	differential	1
HERPUD1	TSHZ2	differential	1
HERPUD1	AK6	differential	1
HERPUD1	PDE3B	differential	1
HERPUD1	RANBP2	differential	1
HERPUD1	NDUFB9	differential	1
HERPUD1	CYTIP	differential	1
SERPINB9	SOCS1	differential	1
SERPINB9	NMRK1	differential	1
PIK3R1	SEMA4D	differential	1
PIK3R1	CTSA	differential	1
PIK3R1	PDCD4	differential	1
PIK3R1	CDK6	differential	1
PIK3R1	IKZF1	differential	1
ZFP36L2	JUN	differential	1
ZFP36L2	LGALS3	differential	1
ZFP36L2	RBM3	differential	1
ZFP36L2	CD37	differential	1
ZFP36L2	TPP1	differential	1
IL7R	ANXA1	differential	1
IL7R	LSP1	differential	1
IL7R	SNF8	differential	1
IL7R	CDK11A	differential	1
IFI6	ISG15	non-differential	1
IFI6	LAMP1	differential	1
IFI6	GDE1	differential	1
AC090498.1	RALGAPA1	differential	1
AC090498.1	EEF1G	differential	1
AC090498.1	POLG	differential	1
AC090498.1	PAG1	non-differential	1
AC090498.1	TADA3	differential	1
AC090498.1	NUFIP2	non-differential	1
PRF1	ACTG1	differential	1
PRF1	PDE4D	differential	1
PRF1	NHP2	differential	1
PRF1	CD44	differential	1
PRF1	CLEC2D	differential	1
PRF1	TRIM22	differential	1
PRF1	INPP5D	differential	1
PRF1	STK4	differential	1
GGA2	GATA3	differential	1
GGA2	RABAC1	differential	1
GGA2	GCLM	non-differential	1
GGA2	TRAT1	non-differential	1
