TFs,Genes,Weights,Occurrence,occurrence_percentage
CREM,IKZF3,0.3549068309947361,4,100.0
CREM,TRAF1,0.3391293767671439,3,75.0
CREM,HSPA5,0.33661196690857453,3,75.0
CREM,ZEB2,0.3191987427270404,4,100.0
CREM,LDLRAD4,0.3187197182576622,4,100.0
CREM,HTATIP2,0.31272243177319553,4,100.0
CREM,TNFRSF1B,0.310375976061927,4,100.0
CREM,MAP3K8,0.29373938212962236,3,75.0
CREM,CYSTM1,0.29255992800539826,4,100.0
CREM,CHMP1B,0.2877368202937803,4,100.0
CREM,CMIP,0.27323619653916503,4,100.0
CREM,DDIT4,0.27046627073724605,3,75.0
CREM,ARAP2,0.26321971518626003,3,75.0
CREM,ZC3H12A,0.26266780077818097,4,100.0
CREM,DUSP1,0.25254756953548335,3,75.0
CREM,CDKN1A,0.2496963755507681,4,100.0
CREM,STAT5A,0.19498844129283874,3,75.0
CREM,TRAF4,0.1941252849882292,3,75.0
CREM,JUNB,0.13672144343493656,3,75.0
CREM,CCNH,0.13374401111035145,4,100.0
CREM,LCP1,0.12821341333005654,4,100.0
CREM,TSHZ2,0.10842420737728543,3,75.0
CREM,SRRT,0.018962841935356498,3,75.0
FOS,JUNB,4.460155205505633,4,100.0
FOS,NR4A2,3.6633092712762294,4,100.0
FOS,JUN,2.939369194547056,4,100.0
FOS,IER2,2.437478787841923,4,100.0
FOS,PERP,2.060765972648352,4,100.0
FOS,DUSP1,1.8134895535301538,4,100.0
FOS,PPP1R15A,1.7968943595002964,4,100.0
FOS,GADD45B,1.5128647888162856,4,100.0
FOS,CDKN1A,1.476950003647594,4,100.0
FOS,FTL,1.4478760892936255,4,100.0
FOS,HMGA1,1.4166944520851776,4,100.0
FOS,ZEB2,1.3942496196329752,3,75.0
FOS,FABP5,1.2414505420007664,3,75.0
FOS,PEA15,1.15933101292482,4,100.0
FOS,CHMP1B,1.1291376036490388,4,100.0
FOS,FOS,1.0,4,100.0
FOS,ZFP36,0.988292570065697,4,100.0
FOS,HSP90AA1,0.9828261525680825,4,100.0
FOS,TUBA4A,0.9791925564355172,4,100.0
FOS,CD55,0.9559899280087091,3,75.0
FOS,CD74,0.9436270892485092,4,100.0
FOS,IRF2BP2,0.9136111343141332,4,100.0
FOS,AQP3,0.9078065272341735,3,75.0
